region,total_industrial_output
CN,24399487.435007885
US,15870118.111711845
JP,4415269.424366428
WA,4227125.605497802
DE,3261990.875349025
IN,2803605.3131460757
KR,2621912.1949549196
WM,2592121.0032084417
GB,2074856.4280663193
FR,2001556.304346269
WL,1989700.4309740488
IT,1816251.065962566
WF,1419599.7535157579
CA,1406866.0254641548
RU,1376051.3606549068
AU,1275089.656219858
BR,1274808.8860692845
ES,1175524.394918805
ID,882177.6960433612
TW,798321.8669234165
NL,789644.2962290577
MX,753226.6161016012
CH,745999.8950615738
TR,694436.1795842997
PL,565253.9065476852
IE,553500.1598657162
BE,542153.2267749211
WE,450748.2771545613
SE,426399.6751075477
AT,404701.8379674398
ZA,370029.9867343292
CZ,356336.6988905236
NO,283167.76694723347
DK,266837.72484035743
FI,246265.9566534482
PT,191341.81681860588
LU,178161.8158144334
HU,166579.49111312124
RO,163882.08228984856
GR,140862.60798802786
SK,123583.54897937196
BG,68547.16090391928
SI,56922.923485645246
HR,41036.472390140974
LT,38967.542413216106
EE,31721.92648631315
LV,31203.19625411554
MT,16404.41055322698
CY,12626.832145031
